text,label
You are so stupid,bullying
I hate you,bullying
You are amazing,non-bullying
Have a great day,non-bullying
Nobody likes you,bullying
You are such a loser,bullying
Keep shining,non-bullying
You are worthless,bullying
Great job on your work,non-bullying
I will destroy you,bullying
You are so stupid,bullying
I hate you,bullying
You are amazing,non-bullying
Have a great day,non-bullying
Nobody likes you,bullying
You are such a loser,bullying
Keep shining,non-bullying
You are worthless,bullying
Great job on your work,non-bullying
I will destroy you,bullying
You are so stupid,bullying
I hate you,bullying
You are amazing,non-bullying
Have a great day,non-bullying
Nobody likes you,bullying
You are such a loser,bullying
Keep shining,non-bullying
You are worthless,bullying
Great job on your work,non-bullying
I will destroy you,bullying
You are so stupid,bullying
I hate you,bullying
You are amazing,non-bullying
Have a great day,non-bullying
Nobody likes you,bullying
You are such a loser,bullying
Keep shining,non-bullying
You are worthless,bullying
Great job on your work,non-bullying
I will destroy you,bullying
You are so stupid,bullying
I hate you,bullying
You are amazing,non-bullying
Have a great day,non-bullying
Nobody likes you,bullying
You are such a loser,bullying
Keep shining,non-bullying
You are worthless,bullying
Great job on your work,non-bullying
I will destroy you,bullying
You are so stupid,bullying
I hate you,bullying
You are amazing,non-bullying
Have a great day,non-bullying
Nobody likes you,bullying
You are such a loser,bullying
Keep shining,non-bullying
You are worthless,bullying
Great job on your work,non-bullying
I will destroy you,bullying
You are so stupid,bullying
I hate you,bullying
You are amazing,non-bullying
Have a great day,non-bullying
Nobody likes you,bullying
You are such a loser,bullying
Keep shining,non-bullying
You are worthless,bullying
Great job on your work,non-bullying
I will destroy you,bullying
You are so stupid,bullying
I hate you,bullying
You are amazing,non-bullying
Have a great day,non-bullying
Nobody likes you,bullying
You are such a loser,bullying
Keep shining,non-bullying
You are worthless,bullying
Great job on your work,non-bullying
I will destroy you,bullying
You are so stupid,bullying
I hate you,bullying
You are amazing,non-bullying
Have a great day,non-bullying
Nobody likes you,bullying
You are such a loser,bullying
Keep shining,non-bullying
You are worthless,bullying
Great job on your work,non-bullying
I will destroy you,bullying
You are so stupid,bullying
I hate you,bullying
You are amazing,non-bullying
Have a great day,non-bullying
Nobody likes you,bullying
You are such a loser,bullying
Keep shining,non-bullying
You are worthless,bullying
Great job on your work,non-bullying
I will destroy you,bullying
